GAME,DATE,NUMBERS,MB,MP,JACKPOT
"MEGAMILLIONS","08/18/2015","02-07-33-39-53","9","3","ROLLOVER",
"MEGAMILLIONS","08/14/2015","12-15-20-52-71","3","4","ROLLOVER",
"MEGAMILLIONS","08/11/2015","03-08-29-57-68","8","4","ROLLOVER",
"MEGAMILLIONS","08/07/2015","01-38-53-63-66","10","3","ROLLOVER",
"MEGAMILLIONS","08/04/2015","02-19-44-51-57","14","2","ROLLOVER",
"MEGAMILLIONS","07/31/2015","28-32-33-40-46","10","4","MO",
"MEGAMILLIONS","07/28/2015","08-35-61-68-75","15","5","ROLLOVER",
"MEGAMILLIONS","07/24/2015","10-12-26-60-62","13","5","ROLLOVER",
"MEGAMILLIONS","07/21/2015","20-30-62-65-74","1","5","PA",
"MEGAMILLIONS","07/17/2015","06-17-30-31-41","15","3","ROLLOVER",
"MEGAMILLIONS","07/14/2015","19-24-30-35-72","5","3","ROLLOVER",
"MEGAMILLIONS","07/10/2015","24-27-45-51-54","8","3","ROLLOVER",
"MEGAMILLIONS","07/07/2015","06-15-16-28-49","14","3","ROLLOVER",
"MEGAMILLIONS","07/03/2015","33-50-64-71-72","9","4","ROLLOVER",
"MEGAMILLIONS","06/30/2015","11-17-34-43-50","15","4","ROLLOVER",
"MEGAMILLIONS","06/26/2015","12-23-33-47-50","3","5","ROLLOVER",
"MEGAMILLIONS","06/23/2015","06-13-38-56-70","2","5","ROLLOVER",
"MEGAMILLIONS","06/19/2015","04-35-36-52-68","8","3","ROLLOVER",
"MEGAMILLIONS","06/16/2015","08-19-26-56-67","14","2","ROLLOVER",
"MEGAMILLIONS","06/12/2015","01-40-42-56-62","2","5","ROLLOVER",
"MEGAMILLIONS","06/09/2015","06-16-17-25-36","7","5","ROLLOVER",
"MEGAMILLIONS","06/05/2015","07-22-27-41-49","10","4","ROLLOVER",
"MEGAMILLIONS","06/02/2015","02-09-11-22-23","12","4","IL",
"MEGAMILLIONS","05/29/2015","20-27-38-49-66","2","4","ROLLOVER",
"MEGAMILLIONS","05/26/2015","01-39-52-69-72","12","4","ROLLOVER",
"MEGAMILLIONS","05/22/2015","03-14-15-25-48","8","5","ROLLOVER",
"MEGAMILLIONS","05/19/2015","10-12-21-29-65","10","5","ROLLOVER",
"MEGAMILLIONS","05/15/2015","11-17-21-36-74","15","5","ROLLOVER",
"MEGAMILLIONS","05/12/2015","14-30-33-36-44","2","5","ROLLOVER",
"MEGAMILLIONS","05/08/2015","09-21-25-66-72","7","3","ROLLOVER",
"MEGAMILLIONS","05/05/2015","11-21-42-62-71","7","5","ROLLOVER",
"MEGAMILLIONS","05/01/2015","17-18-61-66-74","3","3","ROLLOVER",
"MEGAMILLIONS","04/28/2015","22-27-55-58-63","11","5","ROLLOVER",
"MEGAMILLIONS","04/24/2015","24-25-29-47-67","4","4","ROLLOVER",
"MEGAMILLIONS","04/21/2015","31-33-35-41-69","11","5","ROLLOVER",
"MEGAMILLIONS","04/17/2015","15-18-29-41-50","5","2","ROLLOVER",
"MEGAMILLIONS","04/14/2015","03-07-25-68-71","3","5","ROLLOVER",
"MEGAMILLIONS","04/10/2015","06-11-32-46-68","9","2","ROLLOVER",
