GAME,DATE,NUMBERS,MB,MP,JACKPOT
"MEGAMILLIONS","11/02/2010","01-03-12-16-54","46","2","ROLLOVER",
"MEGAMILLIONS","10/29/2010","04-19-26-28-39","14","4","$140,000,000.00 Michigan",
"MEGAMILLIONS","10/26/2010","15-21-30-31-32","26","4","ROLLOVER",
"MEGAMILLIONS","10/22/2010","02-07-18-32-53","18","4","ROLLOVER",
"MEGAMILLIONS","10/19/2010","02-09-14-37-42","41","4","ROLLOVER",
"MEGAMILLIONS","10/15/2010","09-10-13-31-50","10","4","ROLLOVER",
"MEGAMILLIONS","10/12/2010","10-31-36-37-43","15","4","ROLLOVER",
"MEGAMILLIONS","10/08/2010","24-29-37-48-50","19","4","ROLLOVER",
"MEGAMILLIONS","10/05/2010","10-19-24-37-44","27","4","ROLLOVER",
"MEGAMILLIONS","10/01/2010","03-08-21-28-52","43","4","ROLLOVER",
"MEGAMILLIONS","09/28/2010","02-10-13-36-38","18","3","ROLLOVER",
"MEGAMILLIONS","09/24/2010","02-28-38-42-55","25","4","ROLLOVER",
"MEGAMILLIONS","09/21/2010","03-20-43-47-52","26","4","ROLLOVER",
"MEGAMILLIONS","09/17/2010","03-04-14-18-27","13","3","$54,000,000 - New York",
"MEGAMILLIONS","09/14/2010","06-14-50-55-56","1","4","ROLLOVER",
"MEGAMILLIONS","09/10/2010","11-12-17-21-23","20","3","ROLLOVER",
"MEGAMILLIONS","09/07/2010","08-18-22-24-38","23","4","ROLLOVER",
"MEGAMILLIONS","09/03/2010","10-13-20-28-36","9","4","ROLLOVER",
"MEGAMILLIONS","08/31/2010","10-20-29-47-48","38","3","ROLLOVER",
"MEGAMILLIONS","08/27/2010","04-10-26-32-41","31","4","$133,000,000 - CA",
"MEGAMILLIONS","08/24/2010","04-23-24-28-32","31","3","ROLLOVER",
"MEGAMILLIONS","08/20/2010","04-13-20-29-48","36","4","ROLLOVER",
"MEGAMILLIONS","08/17/2010","11-19-40-43-44","33","4","ROLLOVER",
"MEGAMILLIONS","08/13/2010","06-17-24-43-55","36","4","ROLLOVER",
"MEGAMILLIONS","08/10/2010","02-14-26-50-56","12","2","ROLLOVER",
"MEGAMILLIONS","08/06/2010","07-13-30-33-54","30","3","ROLLOVER",
"MEGAMILLIONS","08/03/2010","04-13-20-22-56","32","2","ROLLOVER",
"MEGAMILLIONS","07/30/2010","11-30-40-48-52","42","4","ROLLOVER",
"MEGAMILLIONS","07/27/2010","02-07-10-16-29","8","4","ROLLOVER",
"MEGAMILLIONS","07/23/2010","16-19-39-44-49","26","2","ROLLOVER",
"MEGAMILLIONS","07/20/2010","12-18-28-36-43","19","3","ROLLOVER",
"MEGAMILLIONS","07/16/2010","02-15-18-20-39","34","3","$64,000,000 - California",
"MEGAMILLIONS","07/13/2010","07-11-14-15-34","14","3","ROLLOVER",
"MEGAMILLIONS","07/09/2010","01-31-33-34-50","41","4","ROLLOVER",
"MEGAMILLIONS","07/06/2010","08-18-45-47-50","36","2","ROLLOVER",
"MEGAMILLIONS","07/02/2010","01-10-12-32-36","25","4","ROLLOVER",
"MEGAMILLIONS","06/29/2010","03-04-15-27-37","35","3","ROLLOVER",
"MEGAMILLIONS","06/25/2010","01-02-13-19-27","21","4","ROLLOVER",
"MEGAMILLIONS","06/22/2010","12-17-21-23-30","24","4","$26,000,000 - New York",
"MEGAMILLIONS","06/18/2010","11-36-37-41-55","7","4","ROLLOVER",
"MEGAMILLIONS","06/15/2010","04-12-13-21-27","46","4","ROLLOVER",
"MEGAMILLIONS","06/11/2010","06-13-33-34-42","25","3","$36,000,000 - Michigan",
"MEGAMILLIONS","06/08/2010","12-18-28-48-54","6","3","ROLLOVER",
"MEGAMILLIONS","06/04/2010","12-13-15-17-50","23","4","ROLLOVER",
"MEGAMILLIONS","06/01/2010","12-27-44-45-51","30","2","ROLLOVER",
"MEGAMILLIONS","05/28/2010","03-11-20-29-39","26","4","$12,000,000 - North Carolina ",
"MEGAMILLIONS","05/25/2010","05-14-17-19-24","25","4","$64,000,000 - New York",
"MEGAMILLIONS","05/21/2010","15-20-23-26-30","17","3","ROLLOVER",
"MEGAMILLIONS","05/18/2010","11-13-19-37-40","26","4","ROLLOVER",
"MEGAMILLIONS","05/14/2010","20-21-40-47-56","12","4","ROLLOVER",
"MEGAMILLIONS","05/11/2010","26-33-43-46-54","9","4","ROLLOVER",
"MEGAMILLIONS","05/07/2010","02-07-20-34-50","40","3","ROLLOVER",
"MEGAMILLIONS","05/04/2010","09-21-31-36-43","8","3","California - $266,000,000",
"MEGAMILLIONS","04/30/2010","14-20-41-47-53","40","4","ROLLOVER",
"MEGAMILLIONS","04/27/2010","23-37-41-50-55","6","2","ROLLOVER",
"MEGAMILLIONS","04/23/2010","19-26-28-37-52","18","4","ROLLOVER",
"MEGAMILLIONS","04/20/2010","05-08-10-34-42","25","4","ROLLOVER",
"MEGAMILLIONS","04/16/2010","10-16-31-48-50","44","3","ROLLOVER",
"MEGAMILLIONS","04/13/2010","03-12-27-39-47","32","4","ROLLOVER",
"MEGAMILLIONS","04/09/2010","15-18-39-48-53","3","4","ROLLOVER",
"MEGAMILLIONS","04/06/2010","16-43-44-52-56","26","4","ROLLOVER",
"MEGAMILLIONS","04/02/2010","02-17-22-30-31","19","4","ROLLOVER",
"MEGAMILLIONS","03/30/2010","01-11-24-38-44","41","3","ROLLOVER",
"MEGAMILLIONS","03/26/2010","23-41-46-47-52","22","4","ROLLOVER",
"MEGAMILLIONS","03/23/2010","03-25-28-29-40","13","4","ROLLOVER",
"MEGAMILLIONS","03/19/2010","10-31-45-50-54","25","4","ROLLOVER",
"MEGAMILLIONS","03/16/2010","03-22-48-52-56","13","4","ROLLOVER",
"MEGAMILLIONS","03/12/2010","02-15-25-48-53","41","3","Illinois - $20,000,000",
"MEGAMILLIONS","03/09/2010","14-16-18-19-29","16","2","ROLLOVER",
"MEGAMILLIONS","03/05/2010","11-31-34-44-52","32","4","California - $133,000,000",
"MEGAMILLIONS","03/02/2010","09-12-47-48-56","25","3","ROLLOVER",
"MEGAMILLIONS","02/26/2010","04-14-29-54-56","40","3","ROLLOVER",
"MEGAMILLIONS","02/23/2010","04-16-36-40-53","18","4","ROLLOVER",
"MEGAMILLIONS","02/19/2010","01-22-39-42-46","36","4","ROLLOVER",
"MEGAMILLIONS","02/16/2010","11-12-21-29-45","5","3","ROLLOVER",
"MEGAMILLIONS","02/12/2010","14-16-17-33-47","23","4","Rollover",
"MEGAMILLIONS","02/09/2010","02-17-20-26-48","12","4","ROLLOVER",
"MEGAMILLIONS","02/05/2010","10-20-45-51-53","41","4","ROLLOVER",
"MEGAMILLIONS","02/02/2010","06-07-26-27-49","9","4","ROLLOVER",
"MEGAMILLIONS","01/29/2010","01-10-22-23-38","19","4","TEXAS",
